Cliente 1, empresa: Alfreds Futterkiste, Teléfono: Maria Anders
Cliente 82, empresa: Trail's Head Gourmet Provisioners, Teléfono: Helvetius Nagy
Cliente 83, empresa: Vaffeljernet, Teléfono: Palle Ibsen
Cliente 84, empresa: Victuailles en stock, Teléfono: Mary Saveley
Cliente 85, empresa: Vins et alcools Chevalier, Teléfono: Paul Henriot
Cliente 86, empresa: Die Wandernde Kuh, Teléfono: Rita Müller
Cliente 87, empresa: Wartian Herkku, Teléfono: Pirkko Koskitalo
Cliente 88, empresa: Wellington Importadora, Teléfono: Paula Parente
Cliente 89, empresa: White Clover Markets, Teléfono: Karl Jablonski
Cliente 90, empresa: Wilman Kala, Teléfono: Matti Karttunen
Cliente 91, empresa: Wolski  Zajazd, Teléfono: Zbyszek Piestrzeniewicz
